subject, run, tests, empirical, laplace, localgt, reset1, reset10, b1, f1, f2, f3, f4, v1, v2, v3, v4
freetype, 1, 100, 24,  44, 4625, 1000, 2307, 375,  98, 12, 1512, 38,  119, 1620, 40, 6
freetype, 1, 200, 62,  16, 2789, 47600, 267, 16,  21, 7, 499, 17,  46, 518, 21, 10
freetype, 1, 400, 99,  150, 2910, 267, 23, 701,  412, 2, 503, 22,  442, 496, 33, 5
freetype, 1, 800, 100,  43, 3053, 1600, 2094, 529,  58, 398, 493, 27,  487, 498, 25, 11
freetype, 1, 1600, 125,  57, 2642, 13983, 2830, 180,  41, 17, 808, 21,  505, 482, 81, 0
freetype, 1, 3200, 195,  61, 2559, 6245, 932, 76,  32, 2, 470, 22,  259, 483, 22, 148
freetype, 1, 6400, 315,  119, 4430, 68185, 740, 350,  61, 22, 466, 32,  228, 488, 58, 24
freetype, 1, 12800, 544,  260, 5316, 9461, 10380, 195,  210, 78, 534, 62,  620, 552, 48, 60
freetype, 1, 25600, 607,  272, 6776, 558080, 165389, 249,  117, 15, 100, 91,  621, 194, 79, 35
freetype, 1, 51200, 733,  295, 5709, 548693, 74435, 207,  56, 72, 30, 25,  400, 130, 56, 40
freetype, 1, 102400, 742,  376, 4556, 1627330, 10622, 127,  51, 17, 42, 34,  429, 57, 41, 53
freetype, 1, 204800, 928,  453, 3846, 299845, 440150, 220,  25, 16, 10, 9,  350, 83, 90, 55
freetype, 1, 409600, 1660,  687, 6575, 176119, 136661, 317,  41, 32, 26, 86,  782, 121, 63, 43
freetype, 1, 819200, 4255,  1112, 7688, 1027969, 393529, 413,  69, 46, 68, 22,  814, 125, 91, 130
freetype, 1, 1638400, 4735,  1602, 5806, 1095246, 652900, 401,  30, 33, 15, 24,  943, 187, 144, 123
freetype, 1, 3276800, 5074,  2165, 5144, 42011049, 83461, 322,  32, 12, 17, 9,  719, 176, 138, 116
freetype, 1, 6553600, 4511,  2534, 3906, 2754001, 238597, 348,  13, 8, 8, 5,  489, 120, 126, 110
freetype, 1, 13107200, 4444,  2807, 3303, 15451506, 8052562, 254,  13, 3, 9, 0,  295, 76, 56, 59
freetype, 1, 26214400, 2545,  3148, 3300, 640165, 640165, 192,  0, 2, 0, 0,  174, 41, 24, 14
freetype, 1, 52428800, 2192,  3462, 3568, 1139258, 107421, 283,  0, 0, 1, 2,  113, 20, 18, 12
freetype, 2, 100, 28,  34, 461, 129, 64, 2,  671, 14, 20, 6,  1653, 16, 15, 17
freetype, 2, 200, 37,  23, 424, 2450, 41, 102,  655, 22, 14, 8,  1632, 24, 10, 19
freetype, 2, 400, 20,  48, 407, 57, 124, 176,  719, 7, 2, 7,  1704, 2, 2, 12
freetype, 2, 800, 148,  912, 4714, 94836, 83709, 525,  1108, 67, 111, 65,  1563, 171, 68, 71
freetype, 2, 1600, 223,  171, 4363, 40941, 1205, 111,  632, 83, 16, 11,  1143, 51, 33, 46
freetype, 2, 3200, 455,  200, 6688, 58240, 6258, 177,  200, 89, 451, 28,  616, 491, 41, 37
freetype, 2, 6400, 413,  312, 10306, 45903, 5626, 303,  264, 68, 265, 90,  839, 155, 139, 53
freetype, 2, 12800, 454,  273, 7105, 123370, 30484, 209,  165, 122, 51, 159,  622, 196, 94, 117
freetype, 2, 25600, 658,  291, 6879, 77945, 55318, 185,  103, 26, 79, 136,  727, 63, 49, 103
freetype, 2, 51200, 799,  390, 6939, 150756, 10997, 162,  109, 12, 19, 62,  588, 95, 84, 75
freetype, 2, 102400, 1025,  476, 6135, 281600, 35332, 215,  77, 12, 17, 47,  638, 75, 80, 74
freetype, 2, 204800, 1025,  580, 4864, 4697600, 28236, 295,  52, 9, 25, 17,  561, 116, 65, 144
freetype, 2, 409600, 1686,  765, 5017, 892241, 21068, 411,  151, 39, 7, 29,  962, 120, 84, 81
freetype, 2, 819200, 3324,  1064, 6574, 4872973, 3652619, 395,  31, 29, 15, 39,  770, 151, 92, 84
freetype, 2, 1638400, 4759,  1582, 5693, 10186574, 1148978, 377,  57, 23, 24, 26,  856, 132, 131, 104
freetype, 2, 3276800, 5306,  2105, 5261, 31432234, 428105, 349,  27, 40, 35, 12,  705, 173, 143, 140
freetype, 2, 6553600, 4842,  2569, 4017, 6159267, 115329, 307,  14, 5, 6, 15,  544, 160, 106, 104
freetype, 2, 13107200, 3725,  2773, 3170, 10038285, 212300, 283,  4, 7, 3, 3,  245, 81, 57, 40
freetype, 2, 26214400, 4985,  2980, 3369, 9656556, 631264, 355,  12, 8, 9, 2,  218, 24, 35, 38
freetype, 2, 52428800, 4409,  3641, 3957, 7646813, 60227, 334,  3, 2, 0, 3,  139, 32, 30, 18
freetype, 3, 100, 39,  53, 3680, 1075, 304, 9,  1186, 167, 364, 97,  1708, 126, 3, 25
freetype, 3, 200, 41,  39, 864, 245, 114, 12,  1170, 147, 365, 110,  1684, 118, 9, 15
freetype, 3, 400, 48,  37, 823, 234, 87, 15,  1154, 144, 440, 94,  1757, 104, 2, 4
freetype, 3, 800, 77,  32, 713, 480, 497, 15,  1160, 141, 362, 98,  1680, 102, 3, 3
freetype, 3, 1600, 72,  52, 609, 3200, 1445, 15,  1194, 151, 360, 100,  1734, 109, 4, 4
freetype, 3, 3200, 75,  54, 687, 1191, 2307, 11,  1145, 148, 354, 101,  1667, 120, 13, 3
freetype, 3, 6400, 133,  72, 765, 76800, 108, 20,  1157, 153, 325, 107,  1650, 129, 18, 11
freetype, 3, 12800, 791,  320, 12208, 12800, 14456, 506,  631, 231, 330, 73,  1304, 253, 57, 61
freetype, 3, 25600, 711,  257, 6420, 91252, 43926, 134,  409, 149, 8, 209,  776, 86, 168, 382
freetype, 3, 51200, 790,  328, 6060, 3332267, 1770667, 334,  139, 130, 35, 55,  660, 133, 104, 98
freetype, 3, 102400, 775,  415, 4482, 201007, 11639, 411,  162, 68, 34, 52,  626, 82, 79, 83
freetype, 3, 204800, 1176,  523, 4659, 1328702, 175673, 450,  61, 42, 16, 21,  579, 130, 67, 97
freetype, 3, 409600, 2986,  760, 6767, 2091116, 149064, 504,  65, 43, 29, 46,  831, 133, 119, 115
freetype, 3, 819200, 3197,  1134, 5911, 4068027, 487067, 420,  50, 27, 28, 26,  912, 134, 156, 104
freetype, 3, 1638400, 4298,  1707, 5956, 2647309, 1055416, 399,  64, 23, 27, 24,  946, 197, 165, 131
freetype, 3, 3276800, 3805,  2035, 5082, 655448, 315960, 337,  17, 7, 13, 17,  727, 147, 146, 118
